"GoalsScored","By","Against","HomeAway"
1,"Southampton","West Ham","Away"
1,"Everton","QPR","Away"
1,"Newcastle","Sunderland","Away"
0,"QPR","Arsenal","Away"
1,"Norwich","Aston Villa","Away"
0,"Swansea","Man City","Away"
3,"Fulham","Reading","Away"
0,"Sunderland","Stoke","Away"
1,"West Ham","Wigan","Away"
3,"Man United","Chelsea","Away"
2,"Liverpool","Everton","Away"
1,"West Brom","Newcastle","Away"
2,"Tottenham","Southampton","Away"
2,"Everton","Fulham","Away"
1,"Arsenal","Man United","Away"
0,"Stoke","Norwich","Away"
1,"Aston Villa","Sunderland","Away"
1,"Chelsea","Swansea","Away"
1,"Wigan","Tottenham","Away"
0,"Man City","West Ham","Away"
1,"Newcastle","Liverpool","Away"
1,"Reading","QPR","Away"
0,"Southampton","West Brom","Away"
3,"Fulham","Arsenal","Away"
3,"Man United","Aston Villa","Away"
1,"Sunderland","Everton","Away"
0,"Norwich","Reading","Away"
1,"Swansea","Southampton","Away"
0,"QPR","Stoke","Away"
2,"West Brom","Wigan","Away"
1,"Liverpool","Chelsea","Away"
1,"Tottenham","Man City","Away"
1,"West Ham","Newcastle","Away"
2,"Tottenham","Arsenal","Away"
0,"Wigan","Liverpool","Away"
0,"Aston Villa","Man City","Away"
2,"Swansea","Newcastle","Away"
0,"Man United","Norwich","Away"
3,"Southampton","QPR","Away"
1,"Everton","Reading","Away"
1,"Chelsea","West Brom","Away"
3,"Sunderland","Fulham","Away"
1,"Stoke","West Ham","Away"
0,"Arsenal","Aston Villa","Away"
1,"Norwich","Everton","Away"
1,"QPR","Man United","Away"
0,"Fulham","Stoke","Away"
4,"West Brom","Sunderland","Away"
2,"Reading","Wigan","Away"
0,"Man City","Chelsea","Away"
0,"Newcastle","Southampton","Away"
0,"Liverpool","Swansea","Away"
1,"West Ham","Tottenham","Away"
0,"Reading","Aston Villa","Away"
0,"QPR","Sunderland","Away"
0,"Fulham","Chelsea","Away"
1,"Arsenal","Everton","Away"
0,"West Ham","Man United","Away"
1,"Norwich","Southampton","Away"
1,"Newcastle","Stoke","Away"
1,"West Brom","Swansea","Away"
1,"Liverpool","Tottenham","Away"
2,"Man City","Wigan","Away"
2,"Swansea","Arsenal","Away"
3,"Tottenham","Fulham","Away"
0,"Southampton","Liverpool","Away"
1,"Everton","Man City","Away"
1,"Aston Villa","QPR","Away"
4,"Man United","Reading","Away"
1,"Stoke","West Brom","Away"
1,"Chelsea","West Ham","Away"
1,"Sunderland","Norwich","Away"
0,"Wigan","Newcastle","Away"
0,"West Brom","Arsenal","Away"
0,"Stoke","Aston Villa","Away"
0,"Reading","Southampton","Away"
3,"Chelsea","Sunderland","Away"
4,"Norwich","Swansea","Away"
2,"QPR","Wigan","Away"
1,"Tottenham","Everton","Away"
3,"Man United","Man City","Away"
3,"Liverpool","West Ham","Away"
1,"Newcastle","Fulham","Away"
0,"Reading","Sunderland","Away"
3,"Aston Villa","Liverpool","Away"
1,"Sunderland","Man United","Away"
3,"Man City","Newcastle","Away"
1,"Wigan","Norwich","Away"
1,"Fulham","QPR","Away"
1,"Everton","Stoke","Away"
0,"Swansea","Tottenham","Away"
0,"West Ham","West Brom","Away"
5,"Arsenal","Reading","Away"
0,"Fulham","Liverpool","Away"
0,"Reading","Man City","Away"
0,"QPR","Newcastle","Away"
1,"Sunderland","Southampton","Away"
0,"Stoke","Tottenham","Away"
1,"Norwich","West Brom","Away"
2,"Everton","West Ham","Away"
1,"Arsenal","Wigan","Away"
0,"Aston Villa","Chelsea","Away"
1,"Man United","Swansea","Away"
4,"Tottenham","Aston Villa","Away"
1,"Wigan","Everton","Away"
1,"Southampton","Fulham","Away"
3,"Newcastle","Man United","Away"
1,"Chelsea","Norwich","Away"
2,"West Brom","QPR","Away"
0,"Swansea","Reading","Away"
1,"Liverpool","Stoke","Away"
0,"Man City","Sunderland","Away"
3,"Newcastle","Arsenal","Away"
3,"Wigan","Aston Villa","Away"
2,"Swansea","Fulham","Away"
0,"West Brom","Man United","Away"
4,"Man City","Norwich","Away"
0,"West Ham","Reading","Away"
3,"Southampton","Stoke","Away"
2,"Tottenham","Sunderland","Away"
2,"Chelsea","Everton","Away"
3,"Liverpool","QPR","Away"
0,"Stoke","Man City","Away"
1,"Arsenal","Southampton","Away"
2,"Aston Villa","Swansea","Away"
1,"Reading","Tottenham","Away"
2,"Fulham","West Brom","Away"
1,"Norwich","West Ham","Away"
4,"Man United","Wigan","Away"
1,"QPR","Chelsea","Away"
0,"Sunderland","Liverpool","Away"
2,"Everton","Newcastle","Away"
1,"Southampton","Aston Villa","Away"
0,"Swansea","Everton","Away"
1,"Wigan","Fulham","Away"
0,"Newcastle","Norwich","Away"
0,"Tottenham","QPR","Away"
2,"West Brom","Reading","Away"
4,"Chelsea","Stoke","Away"
0,"West Ham","Sunderland","Away"
2,"Man City","Arsenal","Away"
1,"Liverpool","Man United","Away"
2,"Southampton","Chelsea","Away"
0,"Norwich","Liverpool","Away"
0,"Fulham","Man City","Away"
2,"Reading","Newcastle","Away"
1,"Stoke","Swansea","Away"
2,"Aston Villa","West Brom","Away"
1,"QPR","West Ham","Away"
3,"Sunderland","Wigan","Away"
1,"Arsenal","Chelsea","Away"
1,"Man United","Tottenham","Away"
0,"Everton","Southampton","Away"
1,"West Ham","Arsenal","Away"
2,"Newcastle","Aston Villa","Away"
0,"Man City","QPR","Away"
2,"Wigan","Stoke","Away"
0,"Swansea","Sunderland","Away"
2,"Liverpool","Arsenal","Away"
1,"West Brom","Everton","Away"
1,"West Ham","Fulham","Away"
1,"Southampton","Man United","Away"
1,"Tottenham","Norwich","Away"
2,"Chelsea","Reading","Away"
0,"Stoke","Arsenal","Away"
3,"Aston Villa","Everton","Away"
1,"Man United","Fulham","Away"
2,"Chelsea","Newcastle","Away"
0,"Norwich","QPR","Away"
1,"Sunderland","Reading","Away"
0,"Swansea","West Ham","Away"
2,"Southampton","Wigan","Away"
2,"Liverpool","Man City","Away"
1,"Tottenham","West Brom","Away"
1,"Wigan","Chelsea","Away"
0,"Fulham","Norwich","Away"
1,"Man City","Southampton","Away"
1,"Reading","Stoke","Away"
1,"Arsenal","Sunderland","Away"
1,"QPR","Swansea","Away"
1,"Newcastle","Tottenham","Away"
1,"West Ham","Aston Villa","Away"
0,"Everton","Man United","Away"
2,"West Brom","Liverpool","Away"
0,"Swansea","Liverpool","Away"
1,"Aston Villa","Arsenal","Away"
0,"Stoke","Fulham","Away"
1,"Everton","Norwich","Away"
2,"Man United","QPR","Away"
3,"Wigan","Reading","Away"
1,"Sunderland","West Brom","Away"
0,"Chelsea","Man City","Away"
2,"Southampton","Newcastle","Away"
3,"Tottenham","West Ham","Away"
0,"West Brom","Chelsea","Away"
1,"Reading","Everton","Away"
0,"Norwich","Man United","Away"
2,"QPR","Southampton","Away"
1,"West Ham","Stoke","Away"
2,"Fulham","Sunderland","Away"
0,"Newcastle","Swansea","Away"
4,"Liverpool","Wigan","Away"
1,"Arsenal","Tottenham","Away"
1,"Man City","Aston Villa","Away"
0,"Southampton","Norwich","Away"
1,"Sunderland","QPR","Away"
2,"Aston Villa","Reading","Away"
1,"Swansea","West Brom","Away"
2,"Tottenham","Liverpool","Away"
1,"Stoke","Newcastle","Away"
2,"QPR","Aston Villa","Away"
0,"Man City","Everton","Away"
0,"Reading","Man United","Away"
1,"Liverpool","Southampton","Away"
